prevdist;speed;sex
140;28.40;M
140;22.97;M
140;25.52;M
140;23.89;M
140;33.96;M
140;33.56;M
140;20.06;M
140;23.02;M
140;26.20;M
140;23.31;M
140;20.96;M
140;26.18;M
140;26.24;M
140;33.94;M
75;34.62;M
140;24.13;M
75;30.58;M
75;32.91;M
140;30.66;M
80;19.95;M
80;19.75;K
140;32.06;M
80;27.29;M
140;31.25;M
140;19.70;M
140;29.58;M
80;21.34;M
140;31.14;M
140;32.26;M
140;33.43;M
140;26.67;M
80;21.67;M
80;30.32;M
140;25.47;M
140;24.56;M
140;23.76;M
140;31.25;M
140;34.04;M
80;20.85;M
80;33.35;M
140;32.13;M
140;29.58;M
80;34.31;M
140;33.43;M
140;22.28;M
